id,school_id,school_name,school_city,school_state,school_country,date,date_precision,location,affected_communities,category,summary,source_ids,source_types,source_titles,source_publishers,source_urls,institutional_response,response_depth,response_date,legal_status,verification_status,confidence,review_tier,tags,created_at,updated_at,record_hash
evt_2025_0005,university_of_minnesota_twin_cities,"University of Minnesota, Twin Cities",Minneapolis,MN,US,2025-02-03,day,"Minneapolis, MN",Jewish,OCR complaint,"The U.S. Department of Education announced that OCR opened a Title VI investigation into the University of Minnesota, Twin Cities related to reported antisemitic harassment.",src_ed_2025_02_03_five_universities,Government release,U.S. Department of Education Probes Cases of Antisemitism at Five Universities,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-education-probes-cases-of-antisemitism-five-universities,The source announces an OCR investigation. The current record does not summarize the university's institutional response beyond the public government action.,direct_institutional_response,2025-02-03,OCR directed investigation announced,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; directed-investigation,2026-06-03,2026-06-03,sha256:e6b0969925e090c75cbecc4febecfee1b8901a0ff32b18ee583ba858ecf4f02c
evt_2025_0006,columbia_university,Columbia University,New York,NY,US,2025-05-22,day,"New York, NY",Jewish; Israeli,Institutional response,The U.S. Department of Education stated that OCR and HHS OCR determined Columbia University violated Title VI related to harassment of Jewish students.,src_ed_2025_columbia_accreditor,Government release,U.S. Department of Education Notifies Columbia University's Accreditor of Columbia's Title VI Violation,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-education-notifies-columbia-universitys-accreditor-of-columbias-title-vi-violation,The record currently summarizes the public federal finding and accreditor notification; it does not evaluate Columbia's response.,,2025-05-22,Federal Title VI violation finding stated by Department of Education,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; accreditor-notification,2026-06-03,2026-06-03,sha256:0a1b2927c5902e21e0f1a6fd6bc978979e392f8cd4838ccf379416a0cf65ed7d
evt_2025_0007,harvard_university,Harvard University,Cambridge,MA,US,2025-06-30,day,"Cambridge, MA",Jewish; Israeli,Institutional response,The U.S. Department of Education stated that HHS OCR found Harvard University violated Title VI related to discrimination and harassment against Jewish and Israeli students.,src_ed_2025_harvard_accreditor,Government release,U.S. Departments of Education and Health and Human Services Notify Harvard University's Accreditor of Harvard's Title VI Violation,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-departments-of-education-and-health-and-human-services-notify-harvard-universitys-accreditor-of-harvards-title-vi-violation,The record currently summarizes the public federal finding and accreditor notification; it does not evaluate Harvard's response.,,2025-06-30,Federal Title VI violation finding stated by Department of Education,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; hhs-ocr; accreditor-notification,2026-06-03,2026-06-03,sha256:d899d37bb8d43481d50d428d9634d614e26c4e81bf3d16ac197eca89ca90122a
evt_2025_0008,haverford_college,Haverford College,Haverford,PA,US,2025-08-20,day,"Haverford, PA",Jewish; Israeli,OCR complaint,The U.S. Department of Education announced that OCR opened a directed Title VI investigation into Haverford College related to alleged antisemitic harassment.,src_ed_2025_08_20_haverford,Government release,U.S. Department of Education Initiates Title VI Investigation into Haverford College for Allegedly Tolerating Anti-Semitic Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-education-initiates-title-vi-investigation-haverford-college-allegedly-tolerating-anti-semitic-harassment,The source announces a federal investigation. The current record does not summarize Haverford's institutional response beyond the public government action.,direct_institutional_response,2025-08-20,OCR directed investigation announced,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; directed-investigation,2026-06-03,2026-06-03,sha256:88cbb306389c8a400e060fb02b06433ff3209657da097cad9f5bbdafc07c4c7e
evt_2025_0009,university_of_washington,University of Washington,Seattle,WA,US,2025-05-06,day,"Seattle, WA",Jewish,Institutional response,"The Departments of Education, Health and Human Services, and General Services Administration announced a review of antisemitic activity at the University of Washington.",src_ed_2025_05_06_university_washington,Government release,"ED, HHS, and GSA Initiate Review of Anti-Semitic Activity at the University of Washington",U.S. Department of Education,https://www.ed.gov/about/news/press-release/ed-hhs-and-gsa-initiate-review-of-anti-semitic-activity-university-of-washington,The source says the Task Force expected the university to follow up with enforcement actions and policy changes. The record does not evaluate the university's completed response.,,2025-05-06,Federal review announced,Verified from public source,High,imported_public_source,antisemitism; federal-review; task-force; campus-safety,2026-06-03,2026-06-03,sha256:a20bbf5f82eae1cf7fc73281eeaaf18720f9f0ef4484cd7360e2fc42207bb788
evt_2025_0010,american_university,American University,Washington,DC,US,2025-03-10,day,"Washington, DC",Jewish,OCR complaint,The U.S. Department of Education listed American University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:79065ef8ed1d6e55228463067956eeae207823a529b8a5a66a8b3d4011b1851a
evt_2025_0011,arizona_state_university,Arizona State University,Tempe,AZ,US,2025-03-10,day,"Tempe, AZ",Jewish,OCR complaint,The U.S. Department of Education listed Arizona State University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:6abcfd08bd9b9e8eaab261483503ceee1ef46bd3fa5b3d8dae7a2a475778633e
evt_2025_0012,boston_university,Boston University,Boston,MA,US,2025-03-10,day,"Boston, MA",Jewish,OCR complaint,The U.S. Department of Education listed Boston University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:4b99b58641b497af0df02964af780e24c478060f62b3c526a0ea6b864098d6ab
evt_2025_0013,brown_university,Brown University,Providence,RI,US,2025-03-10,day,"Providence, RI",Jewish,OCR complaint,The U.S. Department of Education listed Brown University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:8f20f5d5802ac5ede7da3c960cd88d778aa8bd0c2c9f2e181c1d1ec28c6bd33d
evt_2025_0014,california_state_university_sacramento,"California State University, Sacramento",Sacramento,CA,US,2025-03-10,day,"Sacramento, CA",Jewish,OCR complaint,"The U.S. Department of Education listed California State University, Sacramento among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.",src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:84e8bd1ff8b8e601dcb4eede59cc2572b8fda283395ca8d9059f1dead57a93be
evt_2025_0015,chapman_university,Chapman University,Orange,CA,US,2025-03-10,day,"Orange, CA",Jewish,OCR complaint,The U.S. Department of Education listed Chapman University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:b42ace71f6276f2691681a07c37c3151b2b21bbfbc00b1e4d067124164382aeb
evt_2025_0016,columbia_university,Columbia University,New York,NY,US,2025-03-10,day,"New York, NY",Jewish,OCR complaint,The U.S. Department of Education listed Columbia University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:44e6aa0b14fa51f114c82e829c0dc779c6857830874fb12a513df8e3134d97f9
evt_2025_0017,cornell_university,Cornell University,Ithaca,NY,US,2025-03-10,day,"Ithaca, NY",Jewish,OCR complaint,The U.S. Department of Education listed Cornell University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:e4756222f36aa1a1cfc2370b8a07bb6bc706b846eb203ce290ce3c116b07064b
evt_2025_0018,drexel_university,Drexel University,Philadelphia,PA,US,2025-03-10,day,"Philadelphia, PA",Jewish,OCR complaint,The U.S. Department of Education listed Drexel University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:9d43f3a4c5cbeacc40659dbdb71b72d54c23ca1ab80f019bda6ad13f4001e81f
evt_2025_0019,eastern_washington_university,Eastern Washington University,Cheney,WA,US,2025-03-10,day,"Cheney, WA",Jewish,OCR complaint,The U.S. Department of Education listed Eastern Washington University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:33a5fd0ef0fa1b4876a0f2cf627246fe94b21dea58052feca5e96bef9c6da0f6
evt_2025_0020,emerson_college,Emerson College,Boston,MA,US,2025-03-10,day,"Boston, MA",Jewish,OCR complaint,The U.S. Department of Education listed Emerson College among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:989f6a92f00225bba14d64799734beee8455e098402403d52f2c045f7e7dbae4
evt_2025_0021,george_mason_university,George Mason University,Fairfax,VA,US,2025-03-10,day,"Fairfax, VA",Jewish,OCR complaint,The U.S. Department of Education listed George Mason University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:11cce749f235e064fea4b89ab9f2ef5b87c1e4472b34be90464d4dbf1e6a6f33
evt_2025_0022,harvard_university,Harvard University,Cambridge,MA,US,2025-03-10,day,"Cambridge, MA",Jewish,OCR complaint,The U.S. Department of Education listed Harvard University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:9387f5edfd1c4c3efd7d087595c6a0b8e0a8547c6f12e6e0446e1f51ac809c32
evt_2025_0023,illinois_wesleyan_university,Illinois Wesleyan University,Bloomington,IL,US,2025-03-10,day,"Bloomington, IL",Jewish,OCR complaint,The U.S. Department of Education listed Illinois Wesleyan University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:03a949087eec99cd5e9919c73b4ef9ce74f0078b1bfc8a133c4412db7bd04c63
evt_2025_0024,indiana_university_bloomington,"Indiana University, Bloomington",Bloomington,IN,US,2025-03-10,day,"Bloomington, IN",Jewish,OCR complaint,"The U.S. Department of Education listed Indiana University, Bloomington among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.",src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:221e985539d3dba55b302f7715f21fb8b7a2340013f51042750e43074b394678
evt_2025_0025,johns_hopkins_university,Johns Hopkins University,Baltimore,MD,US,2025-03-10,day,"Baltimore, MD",Jewish,OCR complaint,The U.S. Department of Education listed Johns Hopkins University among 60 universities receiving OCR letters while under investigation or monitoring for antisemitic discrimination and harassment concerns.,src_ed_2025_03_10_letters_60,Government release,U.S. Department of Education's Office for Civil Rights Sends Letters to 60 Universities Under Investigation for Antisemitic Discrimination and Harassment,U.S. Department of Education,https://www.ed.gov/about/news/press-release/us-department-of-educations-office-civil-rights-sends-letters-60-universities-under-investigation-antisemitic-discrimination-and-harassment,The record currently summarizes the public OCR letter action. It does not evaluate the institution's completed response.,limited_public_response_note,2025-03-10,OCR letter sent while institution was under investigation or monitoring,Verified from public source,High,imported_public_source,title-vi; shared-ancestry; ocr; warning-letter; antisemitism,2026-06-03,2026-06-03,sha256:769fc1f92da79febb737040eb1c1fff5bbe21e7b555afa0a76440268c29073c8
