priority,organization_name,contact_name,email,domain,partner_kind,source_url,rationale,feed_url
2,The Whit,The Whit editors,editor@thewhitonline.com,thewhitonline.com,newsroom,https://thewhitonline.com/contact/,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
2,Western Herald,Western Herald editor,herald-editor@wmich.edu,wmich.edu,newsroom,https://www.westernherald.com/site/contact.html,Campus newsroom with an approved prior outreach target,https://campusevidencelab.org/signals/feeds/all.xml
1,The Louisville Cardinal,Louisville Cardinal editors,editor@louisvillecardinal.com,louisvillecardinal.com,newsroom,https://www.louisvillecardinal.com/contact/,Independent campus newsroom with a public editorial inbox,https://campusevidencelab.org/signals/feeds/all.xml
1,The Oracle,Oracle editor,oracleeditor@gmail.com,usforacle.com,newsroom,https://www.usf.edu/student-affairs/departments/student-publications.aspx,Daily campus newsroom with a public editor inbox,https://campusevidencelab.org/signals/feeds/all.xml
1,The Baylor Lariat,Baylor Lariat editors,Lariat@baylor.edu,baylor.edu,newsroom,https://baylorlariat.com/contact-information/,Campus newsroom accepting story tips through a public inbox,https://campusevidencelab.org/signals/feeds/all.xml
1,The Utah Statesman,Utah Statesman editors,editor@usustatesman.com,usustatesman.com,newsroom,https://www.usu.edu/student-media/the-utah-statesman/,Student newsroom publishing campus news and accepting press releases,https://campusevidencelab.org/signals/feeds/all.xml
1,The Sentinel,Sentinel editors,theksusentinel@gmail.com,theksusentinel.com,newsroom,https://theksusentinel.com/contact/,Student newspaper with a public general newsroom address,https://campusevidencelab.org/signals/feeds/all.xml
1,The Rambler,Rambler editors,rambler@transy.edu,transy.edu,newsroom,https://transyrambler.com/contact/,Student newsroom explicitly seeking story ideas and leads,https://campusevidencelab.org/signals/feeds/all.xml
1,Dateline,Dateline editor,editordatelinedowntown@gmail.com,uhd.edu,newsroom,https://www.uhd.edu/academics/humanities/about/departments/english/dateline/contact-us.aspx,Student newsroom with a public editor address,https://campusevidencelab.org/signals/feeds/all.xml
1,The Cowl,Cowl editors,editor@thecowl.com,thecowl.com,newsroom,https://www.thecowl.com/about-us/,Student newsroom accepting general inquiries and coverage ideas,https://campusevidencelab.org/signals/feeds/all.xml
1,The Collegian,Collegian editors,stories@thecollegianur.com,thecollegianur.com,newsroom,https://www.thecollegianur.com/page/contact,Student newsroom with a public stories and media inbox,https://campusevidencelab.org/signals/feeds/all.xml
1,The Student Life,Student Life editors,editor@tsl.news,tsl.news,newsroom,https://tsl.news/contact/,Multi-campus newsroom serving the Claremont Colleges,https://campusevidencelab.org/signals/feeds/all.xml
2,Center for Research on Expanding Educational Opportunity,CREEO partnerships,creeo@berkeley.edu,berkeley.edu,research,https://creeo.berkeley.edu/about/partner-creeo,Research center explicitly inviting evidence-to-practice partnerships,https://campusevidencelab.org/signals/feeds/all.xml
2,Yale Civil Rights Project,Yale Civil Rights Project board,ycrp@yale.edu,yale.edu,civil-rights,https://yaleconnect.yale.edu/ycrp/home/,Civil-rights research group working with nonprofit partners,https://campusevidencelab.org/signals/feeds/all.xml
2,North Dakota News Cooperative,North Dakota News Cooperative,sabrina@newscoopnd.org,newscoopnd.org,newsroom,https://www.newscoopnd.org/contact/,Nonprofit newsroom with public community and partnership contact,https://campusevidencelab.org/signals/feeds/all.xml
3,University Observer,University Observer editors,editor@universityobserver.ie,universityobserver.ie,newsroom,https://universityobserver.ie/about/,Student newspaper of record with a public editor inbox,https://campusevidencelab.org/signals/feeds/all.xml
3,Imprint,Imprint executive editor,editor@uwimprint.ca,uwimprint.ca,newsroom,https://uwimprint.ca/contact/,Editorially independent student newspaper with a public executive-editor inbox,https://campusevidencelab.org/signals/feeds/all.xml
